name,lat,lng,category
عسکری بینک,33.698086,73.0112954,bank
الائیڈ بینک لمیٹڈ,33.6976525,73.0105887,bank
United Bank Ltd,33.6960411,73.0118772,bank
"Total Parco , F-10 Markaz",33.6988403,73.0112495,fuel
Caltex Filling Station,33.5846699,73.0944042,fuel
Daman-e-Koh,33.7383666,73.0570403,restaurant
اسٹینڈرڈ چارٹرڈ,33.683766,72.986826,bank
پاکستان اسٹیٹ آئل,33.7100027,73.0389002,fuel
PSO Pump G-9 Markez,33.6893963,73.033746,fuel
اسٹینڈرڈ چارٹرڈ,33.6966838,73.0113365,bank
City Bank,33.684909,72.9887772,bank
Saudi Pak Commercial Bank,33.6838147,72.9868747,bank
عسکری بینک,33.6843984,72.9860121,bank
Ali Medical Centre,33.7104738,73.0417644,hospital
شہزاد ٹاؤن Shehzad Town Chak Shehzad islamabad,33.672493,73.1397655,supermarket
Total Station,33.7132584,73.040259,fuel
Safeway CNG,33.5991725,73.0619384,fuel
Masjid Al Qasim,33.6804943,73.0057153,mosque
پاکستان اسٹیٹ آئل,33.6985338,73.0501914,fuel
Masjid Alfurqan,33.7275661,73.0480234,mosque
Islamabad Model College for Girls F-6/2,33.7302916,73.0728704,school
FG Boys Model School,33.684807,73.0202663,school
پاکستان اسٹیٹ آئل,33.5871342,73.0739329,fuel
Shell Pump,33.7086323,73.1048122,fuel
Poly Clinic Hospital,33.7211006,73.0828053,hospital
پاکستان اسٹیٹ آئل,33.7282215,73.0783391,fuel
Total,33.7283287,73.0749401,fuel
پاکستان اسٹیٹ آئل,33.7196379,73.0734333,fuel
شیل,33.7315008,73.0785384,fuel
Caltex,33.7204999,73.0545509,fuel
Sir Syed Public School,33.6051071,73.077147,school
شیل,33.598928,73.0616763,fuel
The Hot Spot,33.7259475,73.0576782,cafe
The Gelato Affair,33.7259527,73.0578027,cafe
گلوریا جینز,33.7260597,73.05794,cafe
Golden Dragon,33.7263387,73.0577749,restaurant
The Hot Spot Cafe,33.7364262,73.0813998,cafe
Muslim Commercial Bank,33.7251136,73.0858755,bank
Jamia masjid Mai reshman,33.6704887,72.990963,mosque
شیل,33.5913516,73.0593357,fuel
CMH,33.5816409,73.0492626,hospital
ایچ بی ایل پاکستان,33.7184222,73.0854265,bank
Muslim Commercial Bank,33.7162527,73.0855571,bank
شیل,33.7091561,73.0918462,fuel
Healthways,33.5952769,73.057514,hospital
Jama Masjid-e-Murtaza,33.699839,73.0681513,mosque
Beaconhouse Margalla Campus,33.6823327,73.066608,school
Froebel's International School,33.722589,73.0531003,school
مسجد الحیرہ,33.708768,73.0641759,mosque
OPF Boys College,33.6823018,73.0703332,school
Islamabad Convent,33.6817039,73.0712068,school
Jamia Masjid Anwar-ul-khair,33.6801249,73.0226432,mosque
Masjid F-7/1,33.7159849,73.0552218,mosque
Shell+CNG,33.6052196,73.0208127,fuel
PSO Shaheen Petrol Pump,33.6051512,73.0998658,fuel
Vision CNG,33.6047954,73.0994147,fuel
Islamabad International َDental Hospital and College,33.7054375,73.0794388,hospital
ٹوٹل,33.6145389,73.0816514,fuel
"Isloo Grill, Pir Sohawa",33.7843301,73.1103956,restaurant
PAF Hospital,33.7156183,73.0170436,hospital
ایچ بی ایل پاکستان,33.5938823,73.0511065,bank
Jamia Tul Murtaza,33.6818535,73.036468,mosque
Raja jee CNG,33.6376597,73.0926532,fuel
XS Mobile,33.5938761,73.0551664,supermarket
شیل,33.5850007,73.0944253,fuel
International Islamic Grammer School,33.6783486,72.9801959,school
Table Talk,33.7354098,73.0780948,cafe
Howdy,33.7262071,73.0579305,cafe
Food 24 Hours,33.6834934,72.9871111,restaurant
Shaheen Pharmacy,33.7297173,73.0755121,pharmacy
Islamabad Vintage Quisine,33.7294496,73.0749265,restaurant
Kitchen Cusine Grill,33.721965,73.0617424,restaurant
Zefra Restaurant,33.7217479,73.0621813,restaurant
Watsons,33.7296318,73.0753504,pharmacy
کینٹکی فرائیڈ چکن,33.7293076,73.0746698,restaurant
Luna Caprese,33.7303805,73.075362,restaurant
HSBC,33.7288524,73.0759414,bank
Motamar Mosque,33.7309604,73.0789184,mosque
Mocca,33.7356049,73.0779705,cafe
"Savour Food (""Pulao Kabab"")",33.6105658,73.0623827,restaurant
زکریا,33.619529,73.023467,mosque
PAF Mosque,33.7159942,73.018439,mosque
نعمانیہ مسجد,33.6169865,73.0308448,mosque
مکڈونلڈز,33.5852957,73.0718655,restaurant
METRO cash & carry,33.6400387,73.0256094,supermarket
Masjid Al Huda,33.7228261,73.0600461,mosque
پیزا ہٹ,33.7221222,73.0587849,restaurant
جامع مسجد,33.5815722,73.0942173,mosque
مسجد الكويت,33.7282608,73.1226236,mosque
Canadian Club,33.7209943,73.1123473,restaurant
One potato two potato,33.7199355,73.0553102,restaurant
cafe lazeez,33.7188394,73.0547032,restaurant
Goodwill Pharmacy,33.7225704,73.0822723,pharmacy
ایم سی بی بینک,33.7295017,73.0750256,bank
یونائیٹڈ بینک لمیٹڈ,33.7294014,73.0748473,bank
Nando's,33.7299525,73.0779994,restaurant
Habib Bank (HBL),33.6003439,73.0543999,bank
Jamia Mosque Ahle Hadees,33.600819,73.0537438,mosque
جامع مسجد حنفیہ,33.5997198,73.0518984,mosque
Masjid-e-Qubah,33.6868112,73.0423234,mosque
Masjid Syedna Hasan,33.6848433,73.0387881,mosque
F.G.School,33.6843865,73.0384453,school
Mehraaj Hotel,33.6882811,73.0325471,restaurant
Taqwa Masjid‎,33.6889667,73.0394691,mosque
Shanwari Resturant‎,33.68505,73.0428398,restaurant
Federal Government Girls College No. 9 G-9/2,33.6892572,73.0264346,school
Mei Kong,33.5969518,73.0485574,restaurant
Beacon House,33.5683449,73.111379,school
سونیری بینک,33.5733183,73.1056581,bank
CNG Station,33.5681963,73.1049819,fuel
Safari Hospital,33.5732,73.1063687,hospital
Superstore,33.5734035,73.1058511,supermarket
Bakala Super Store,33.5616383,73.1064444,supermarket
Papasallis,33.5861681,73.0732986,restaurant
ٹوٹل,33.5881746,73.075048,fuel
Save Mart,33.5842756,73.0734783,supermarket
عسکری بینک,33.6089632,73.0819505,bank
ٹوٹل,33.6148425,73.081693,fuel
Habib Bank Limited,33.6086237,73.0814569,bank
Superstore,33.5564245,73.1023479,supermarket
Shaheen CNG,33.5531244,73.1010701,fuel
سی این جی,33.5567205,73.1045444,fuel
Army Public School,33.5898178,73.0879988,school
Main Jamia Masjid Paf Nur Khan,33.61004,73.0836721,mosque
مسجد اقبال,33.6098436,73.0882994,mosque
One Potato  Two Potato,33.684541,72.9859069,restaurant
Tayyab CNG Station,33.5830592,73.0973846,fuel
The State School,33.5843641,73.0944878,school
Super Store,33.5858257,73.0888661,supermarket
Sales Day Store,33.5847887,73.0900034,supermarket
Khatak chemist,33.5859644,73.0890375,pharmacy
Utility Store,33.5851956,73.0898049,supermarket
National Saving Center,33.5861387,73.0888232,bank
Medicine Point,33.5865789,73.0880612,pharmacy
Resturant,33.5850213,73.0901107,restaurant
F.G Quaid Azam Public School,33.5902764,73.08685,school
City Store,33.5941155,73.0552906,supermarket
Metro Shoes,33.5934542,73.0551726,supermarket
Jamia Masjid Ghausia Haji Ahmed Jan,33.594937,73.053832,mosque
Resturant,33.5965369,73.0528873,restaurant
Pharmecy,33.5968821,73.0468407,pharmacy
Resturants,33.5964386,73.0505275,restaurant
نیشنل بینک آف پاکستان,33.5967603,73.0503451,bank
Kim Fah Chinese restaurant,33.5952143,73.0493474,restaurant
PSO filling Station,33.595716,73.0485105,fuel
Askari Bank,33.5855263,73.0898058,bank
Shaheen Pharmacy,33.5861966,73.0886793,pharmacy
سی این جی,33.5569296,73.1026965,fuel
سی این جی,33.5561428,73.1023532,fuel
Beacon House Jr.,33.5694207,73.1110017,school
Educators' School,33.5649133,73.1079312,school
Citi School,33.5655212,73.1064077,school
Citi School,33.5640492,73.106323,school
Daar Ul Arqam School,33.5671929,73.1109245,school
Air Foundation School,33.5650474,73.1069549,school
Roots School,33.5698748,73.1105169,school
FG College for Women,33.5979489,73.0578919,school
National Bank,33.5882696,73.0578497,bank
Ghusia Masjid,33.5968338,73.0530959,mosque
Italian Pizza,33.5620544,73.1062163,restaurant
Hungry Bunny,33.5624388,73.1066561,restaurant
Springboard School,33.5725674,73.1067205,school
سی این جی,33.556943,73.1022298,fuel
Silver Oaks School,33.5634951,73.1063014,school
بینک الفلاح,33.5854669,73.0900194,bank
Hearts Pharmacy,33.561787,73.1065099,pharmacy
فیصل بینک,33.561479,73.1065901,bank
کے ایف سی,33.5941176,73.0561034,restaurant
"Islamabad Model College for Girls, Korang Town",33.5810547,73.1426043,school
KORAL CNG,33.5870938,73.1474469,fuel
Kaleem CNG,33.5867453,73.1476662,fuel
Jam-e-masjid Chishtia,33.7131642,73.072613,mosque
rawalpindi food street,33.6502212,73.0767252,restaurant
کالج مسجد,33.6425931,73.0665608,mosque
sideque public school,33.6431111,73.0699511,school
Jamia Masjid Khadija,33.6470072,73.182824,mosque
Attock Petrol Pump,33.6333323,73.1330695,fuel
Shakeela Shabir Hospital,33.6454153,73.1753981,hospital
Begam Jan Hospital,33.6453694,73.1744526,hospital
ایچ بی ایل پاکستان,33.6449017,73.1737083,bank
Jamia Masjid Khokhran,33.6438433,73.1827366,mosque
Ateeqa Medical Store,33.6454292,73.1762726,pharmacy
مسجد بلال,33.6467421,73.1744219,mosque
Mehria Medical Store,33.6455319,73.1815083,pharmacy
Umer Traders,33.6454917,73.1778283,supermarket
Hamza Medical Store,33.6450541,73.1831712,pharmacy
Alipur Medical Store,33.6451345,73.1807841,pharmacy
New Gujarkhan Medical Store,33.6454783,73.1769163,pharmacy
ایچ بی ایل پاکستان,33.6414553,73.0795963,bank
Bank Alflah,33.6288703,73.1114085,bank
"Zic HTL Fuel Station, Taramri",33.6437206,73.1635453,fuel
Irfan CNG,33.6440376,73.1646504,fuel
Unique CNG Station,33.6342061,73.0761058,fuel
پاکستان اسٹیٹ آئل,33.6341211,73.0764433,fuel
ڈی واٹسن کیمسٹ,33.6321494,73.0716944,pharmacy
GujarKhan Medical Store,33.6450498,73.183488,pharmacy
Utility Store,33.6450498,73.1833164,supermarket
Alipur CNG,33.6438734,73.1942117,fuel
Millat CNG,33.6447668,73.1696069,fuel
پاکستان اسٹیٹ آئل,33.6426856,73.196048,fuel
Mehmood Plaza,33.6452379,73.18676,supermarket
Abdullah,33.6294039,73.1071836,mosque
SHAN CNG,33.6293146,73.1090128,fuel
ARAMCO Petrol pump,33.6284938,73.1011446,fuel
Bank Alflah,33.6321463,73.0861175,bank
Al-Malik Petrol Pump,33.6283676,73.0920291,fuel
کینٹکی فرائیڈ چکن,33.5505421,73.1254244,restaurant
Oxygen,33.5574269,73.1363083,restaurant
ڈنکن ڈونٹس,33.5573105,73.1364054,restaurant
Bank Alfalah,33.5521729,73.1390449,bank
Shaheen Chemist,33.5523812,73.1394165,pharmacy
Quetta Moon Cafe,33.5520908,73.1387612,cafe
FGD- G7/1 Dispensary,33.7001979,73.0702433,pharmacy
Federal Government Dispensary - G-7/1,33.7004344,73.0714557,pharmacy
پاکستان اسٹیٹ آئل,33.70414,73.0719737,fuel
International Islamic Medical Centre,33.7070214,73.0780754,hospital
Shaheen School System,33.7074414,73.0138625,school
Mujaddiya Masjid,33.7115207,73.033076,mosque
اسٹینڈرڈ چارٹرڈ,33.7145413,73.0637504,bank
Savour Foods,33.7132176,73.0634842,restaurant
Al madni resturant,33.652985,73.0709397,restaurant
Daubai food & resturant,33.6532618,73.0707413,restaurant
zum zum resturant,33.6537575,73.0703228,restaurant
tabaraak resturant,33.6543022,73.0699688,restaurant
Al-madina resturant,33.6544228,73.0705267,restaurant
saman PCO and cold drinks,33.6541102,73.0707681,restaurant
diamond CNG,33.652659,73.071208,fuel
CNG Station,33.6527812,73.0815355,fuel
Askari Bank Ltd,33.5789695,73.0608789,bank
Jamia Masjid Allah Waali Qayumabad,33.6484166,73.0918765,mosque
Jamia Masjid Abad,33.6437914,73.0784281,mosque
"Govt. School for Blind Girls, Shamashabad",33.6506355,73.0860395,school
